PrimaryKey;Id;Name;Latitude;Longitude;Altitude;Roll;Pitch;Yaw;RxTxType;AntennaType;CenterFrequency_Hz;Bandwith_Hz;Gain_dB;SignalToNoiseRatio_dB;XPos;YPos;ZPos;StartTime;Remark
91988fd4-250d-4e50-b847-4c48fe6a8141;-66;RFDevice #1;49,7538871429058;6,65725240795759;0;0;0;0;Unknown;Unknown;98;24;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
a9012a3c-2611-4c2e-893d-845b90e69683;977;RFDevice #2;49,7706019471141;6,61717774467891;0;0;0;0;TwinRx;OmniDirectional;98;11;0;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
c704ffae-0581-45ce-9f10-c40d83211471;-547;RFDevice #3;49,7468137025231;6,62362572551422;0;0;0;0;HackRF;OmniDirectional;86;28;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
ce0ca259-ff35-49d5-9841-1843c498783c;-528;RFDevice #4;49,7699096295255;6,65386467827212;0;0;0;0;TwinRx;Unknown;87;47;0;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
c5b8f623-8046-479d-a3ec-c67cf1666729;931;RFDevice #5;49,7492524635154;6,63497003748793;0;0;0;0;HackRF;OmniDirectional;92;30;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
c701cdd6-4f95-45b2-8ec2-eace3c4fddf3;-545;RFDevice #6;49,7824546151824;6,66444313894247;0;0;0;0;Unknown;OmniDirectional;88;32;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
bd712f95-adc7-4367-bada-64f419e92f03;813;RFDevice #8;49,7455238160534;6,65205588310135;0;0;0;0;IdealSDR;Unknown;95;31;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
4326629c-8a73-4f54-8923-403723733e46;931;RFDevice #9;49,7944962733278;6,64404904655383;0;0;0;0;IdealSDR;OmniDirectional;96;41;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
f1a53d24-4741-428c-bfb5-0d711057982d;470;RFDevice #10;49,7569721459554;6,62503558481826;0;0;0;0;HackRF;OmniDirectional;92;40;0;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
ba83115c-6c19-49b6-aafd-81018b7b1600;-669;RFDevice #1;49,7854157588953;6,65456431475229;0;0;0;0;TwinRx;Unknown;97;65;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
5e9e4305-41f3-4475-8d0b-f5e9c8979fa5;-754;RFDevice #2;49,7462836670317;6,64204016136114;0;0;0;0;IdealSDR;Unknown;90;12;0;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
3212ee12-ece8-4fd5-9aa8-7db3a997c6b7;-134;RFDevice #3;49,752417709225;6,66136911329891;0;0;0;0;HackRF;Unknown;91;61;0;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
2c4c8744-68a0-4c3f-a08a-e2dc0b11444a;-283;RFDevice #4;49,7668357206232;6,6233276698569;0;0;0;0;IdealSDR;Unknown;95;30;0;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
fc5d7775-e4d8-4506-8158-9f1f9f9166a9;123;RFDevice #5;49,779098900502;6,65863429391707;0;0;0;0;IdealSDR;Unknown;96;10;0;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
680ac11b-0153-4c61-9ac1-0a3ad7a9c5ba;-634;RFDevice #6;49,7815006472195;6,65978619516831;0;0;0;0;IdealSDR;OmniDirectional;89;27;0;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
adcba2ac-528f-41b2-b2da-cc3087727923;-612;RFDevice #7;49,7699516689609;6,66356188773823;0;0;0;0;Unknown;OmniDirectional;85;43;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
bb0132e8-c19b-454f-ab85-1cd8e88259fe;-858;RFDevice #8;49,7687537955551;6,63346931732901;0;0;0;0;HackRF;OmniDirectional;100;77;0;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
4bff08a7-ce8e-4591-a98d-c4fc6a1e3a63;453;RFDevice #9;49,7455872043825;6,64896943268332;0;0;0;0;Unknown;OmniDirectional;103;79;0;0;0;0;0;0;Falsches Üben von Xylophonmusik quält jeden größeren Zwerg.
c89355da-201c-4357-8275-910320eed13e;-739;RFDevice #10;49,7752813147144;6,62682638669718;0;0;0;0;Unknown;OmniDirectional;94;30;0;0;0;0;0;0;Franz jagt im komplett verwahrlosten Taxi quer durch Bayern.
76de5629-132f-4c28-aec4-7aae7bf1ba61;-650;RFDevice #11;49,7796947206852;6,65685911702325;0;0;0;0;HackRF;Unknown;91;17;0;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
4ba90314-9c95-4467-a096-4e88aff1cf65;-623;RFDevice #12;49,7460171436285;6,61662048329921;0;0;0;0;HackRF;OmniDirectional;96;70;0;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
3ae702a6-b042-4cf8-a44d-481c239f08f4;526;RFDevice #13;49,7614552154603;6,6401742245911;0;0;0;0;IdealSDR;Unknown;91;17;0;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
95e09a9c-4a30-4829-bb5f-26e4108cb330;3;RFDevice #14;49,7512728232774;6,65597866861908;0;0;0;0;Unknown;Unknown;97;41;0;0;0;0;0;0;Vom Ödipuskomplex maßlos gequält, übt Wilfried zyklisches Jodeln.
0ad71ca7-6004-4075-88ac-9560694f46f4;-657;RFDevice #15;49,7560899131139;6,62674406313665;0;0;0;0;Unknown;Unknown;95;10;0;0;0;0;0;0;The quick brown fox jumps over a lazy dog.
